"Reference","Value","Footprint","Function","数量"
"C1, C2","10u","74th:Capacitor_0805_2012","","2"
"C3-C5","100n","74th:Capacitor_0805_2012","","3"
"C6","1u","74th:Capacitor_0805_2012","","1"
"D1","Blue","74th:LED_0805_2012","","1"
"J1","USB2.0_C_v3","74th:Connector_USB-C-Receptacle_SMT_12-Pin_Simple","","1"
"J2","SWD-MCU_Side-10Pin","74th:Connector_HalfPinHeader_SWD","","1"
"J3","ProMicro-LeftPin","74th:PinOut_ProMicro-LIKE_LEFT","","1"
"J4","ProMicro-RightPin","74th:PinOut_ProMicro-LIKE_RIGHT","","1"
"JP1","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","","1"
"R3, R4","5.1k","74th:Register_0805_2012","","2"
"R5","1.5k(NC)","74th:Register_0805_2012","","1"
"R6, R7","27.4(NC)","74th:Register_0805_2012","","2"
"R8","0","74th:Register_0805_2012","","1"
"R9, R10","10k","74th:Register_0805_2012","","2"
"SW1","SW_Push","74th:PushButton_SKRPABE010","RST","1"
"U1","AMS1117-3.3","74th:Package_SOT-89-3","","1"
"U2","CH32V003F4P6","74th:Package_TSSOP-20_4.4x6.5mm_P0.65mm","","1"
"U3","CH213K","74th:Package_SOT-23","","1"
