|Reference|Value|Footprint|Datasheet|数量
|C1-C3,C6|100n|$74th:Capacitor_0805_2012|~|4
|C4|10u|$74th:Capacitor_0805_2012|~|1
|C5|2.2u|$74th:Capacitor_0805_2012|~|1
|C7| C8|12p|$74th:Capacitor_0805_2012|~|2
|C9| C10|22p|$74th:Capacitor_0805_2012|~|2
|D1|LED|$74th:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder|~|1
|J1|USB2.0_C_v3|$74th:USB-C-12-Pin-SMD|https://www.usb.org/sites/default/files/documents/usb_type-c.zip|1
|J2|ProMicro-LeftPin|$74th:ProMicro_LIKE_LEFT||1
|J3|ProMicro-RightPin|$74th:ProMicro_LIKE_RIGHT||1
|R1|200|$74th:Register_0805_2012|~|1
|R2| R6| R7|10k|$74th:Register_0805_2012|~|3
|R3|0|$74th:Register_0805_2012|~|1
|R4| R5|5.1k|$74th:Register_0805_2012|~|2
|SW1| SW2|SW_Push|$74th:SKRPABE010|~|2
|U1|CH32V203CxT6|Package_QFP:LQFP-48_7x7mm_P0.5mm||1
|U2|AMS1117-3.3|Package_TO_SOT_SMD:SOT-89-3_Handsoldering|http://www.advanced-monolithic.com/pdf/ds1117.pdf|1
|Y1|32.768k|$74th:Crystal_SMD_3215-2Pin_3.2x1.5mm|~|1
|Y2|8M|$74th:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering|~|1
