"Reference","Value","Footprint","数量"
"C1, C2","10u","74th:Capacitor_0603_1608","2"
"C3","1u","74th:Capacitor_0603_1608","1"
"C4","100n","74th:Capacitor_0603_1608","1"
"CH1","ProMicro-Left_NoGND","74th:PinOut_ProMicro-LIKE_LEFT_NO-GND","1"
"CH2","ProMicro-Right","74th:PinOut_ProMicro-LIKE_RIGHT","1"
"CH3","3Pin","74th:PinOut_3Pin","1"
"CH4","2Pin","74th:PinOut_2Pin","1"
"D1","BLUE","74th:LED_0805_2012","1"
"J1","217179-0001","74th:Connector_USB-C-Receptacle_SMT_12-Pin_Simple","1"
"J2","SWD_10Pin_MCU-Side","74th:Connector_HalfPinHeader_SWD","1"
"JP1","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","1"
"R1, R2","5.1k","74th:Register_0603_1608","2"
"R3","100k","74th:Register_0603_1608","1"
"R4","1.5k","74th:Register_0603_1608","1"
"R5, R8","10k","74th:Register_0603_1608","2"
"R6, R7","27","74th:Register_0603_1608","2"
"SW1","SKRPABE010","74th:PushButton_SKRPABE010","1"
"U1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-89-3","1"
"U2","CH32X035G8U6","74th:QFN-28-1EP_4x4mm_P0.4mm_EP2.8x2.8mm","1"
"U3","CH217K","Package_TO_SOT_SMD:SOT-23-6","1"
